model_id,fold,rank,feature
lightgbm_clf_baseline,1,1,KMID
lightgbm_clf_baseline,1,2,KLEN
lightgbm_clf_baseline,1,3,KMID2
lightgbm_clf_baseline,1,4,KUP
lightgbm_clf_baseline,1,5,KLOW
lightgbm_clf_baseline,1,6,KSFT
lightgbm_clf_baseline,1,7,ROC5
lightgbm_clf_baseline,1,8,MAX_RATIO_5
lightgbm_clf_baseline,1,9,MIN_RATIO_5
lightgbm_clf_baseline,1,10,MA_RATIO_5
lightgbm_clf_baseline,1,11,ROC10
lightgbm_clf_baseline,1,12,MAX_RATIO_10
lightgbm_clf_baseline,1,13,MIN_RATIO_10
lightgbm_clf_baseline,1,14,MA_RATIO_10
lightgbm_clf_baseline,1,15,ROC20
lightgbm_clf_baseline,1,16,MAX_RATIO_20
lightgbm_clf_baseline,1,17,MIN_RATIO_20
lightgbm_clf_baseline,1,18,MA_RATIO_20
lightgbm_clf_baseline,1,19,ROC30
lightgbm_clf_baseline,1,20,MAX_RATIO_30
lightgbm_clf_baseline,1,21,MIN_RATIO_30
lightgbm_clf_baseline,1,22,MA_RATIO_30
lightgbm_clf_baseline,1,23,ROC60
lightgbm_clf_baseline,1,24,MAX_RATIO_60
lightgbm_clf_baseline,1,25,MIN_RATIO_60
lightgbm_clf_baseline,1,26,MA_RATIO_60
lightgbm_clf_baseline,1,27,ROC120
lightgbm_clf_baseline,1,28,MAX_RATIO_120
lightgbm_clf_baseline,1,29,MIN_RATIO_120
lightgbm_clf_baseline,1,30,MA_RATIO_120
lightgbm_clf_baseline,1,31,ROC250
lightgbm_clf_baseline,1,32,MAX_RATIO_250
lightgbm_clf_baseline,1,33,MIN_RATIO_250
lightgbm_clf_baseline,1,34,MA_RATIO_250
lightgbm_clf_baseline,1,35,STD5
lightgbm_clf_baseline,1,36,STD10
lightgbm_clf_baseline,1,37,STD20
lightgbm_clf_baseline,1,38,STD30
lightgbm_clf_baseline,1,39,STD60
lightgbm_clf_baseline,1,40,STD120
lightgbm_clf_baseline,1,41,STD250
lightgbm_clf_baseline,1,42,ATR_RATIO_5
lightgbm_clf_baseline,1,43,ATR_RATIO_20
lightgbm_clf_baseline,1,44,ATR_RATIO_60
lightgbm_clf_baseline,1,45,ROC_STD_20
lightgbm_clf_baseline,1,46,ROC_STD_60
lightgbm_clf_baseline,1,47,ROC_STD_120
lightgbm_clf_baseline,1,48,ROC_STD_250
lightgbm_clf_baseline,1,49,MOM_ACC_20_60
lightgbm_clf_baseline,1,50,MOM_ACC_60_120
lightgbm_clf_baseline,1,51,VMA_RATIO_5
lightgbm_clf_baseline,1,52,VSTD_5
lightgbm_clf_baseline,1,53,VMA_RATIO_10
lightgbm_clf_baseline,1,54,VSTD_10
lightgbm_clf_baseline,1,55,VMA_RATIO_20
lightgbm_clf_baseline,1,56,VSTD_20
lightgbm_clf_baseline,1,57,VMA_RATIO_60
lightgbm_clf_baseline,1,58,VSTD_60
lightgbm_clf_baseline,1,59,CORR_PV_5
lightgbm_clf_baseline,1,60,WVMA_5
lightgbm_clf_baseline,1,61,CORR_PV_10
lightgbm_clf_baseline,1,62,WVMA_10
lightgbm_clf_baseline,1,63,CORR_PV_20
lightgbm_clf_baseline,1,64,WVMA_20
lightgbm_clf_baseline,1,65,TURNOVER_SURGE_5
lightgbm_clf_baseline,1,66,TURNOVER_SURGE_20
lightgbm_clf_baseline,1,67,TURNOVER_STD_20
lightgbm_clf_baseline,1,68,AMOUNT_RATIO_5_20
lightgbm_clf_baseline,1,69,LIMIT_UP_SPACE
lightgbm_clf_baseline,1,70,IS_LIMIT_UP_LAG1
lightgbm_clf_baseline,1,71,IS_LIMIT_DOWN_LAG1
lightgbm_clf_baseline,1,72,UPPER_SHADOW_RATIO
lightgbm_clf_baseline,1,73,LOWER_SHADOW_RATIO
lightgbm_clf_baseline,1,74,ENTITY_RATIO
lightgbm_clf_baseline,1,75,INTRADAY_CLOSE_LOC
lightgbm_clf_baseline,1,76,LOG_CIRC_MV
lightgbm_clf_baseline,1,77,EFFICIENCY_RATIO_10
lightgbm_clf_baseline,1,78,AMIHUD_20
lightgbm_clf_baseline,1,79,AMIHUD_20_LN
lightgbm_clf_baseline,2,1,KMID
lightgbm_clf_baseline,2,2,KLEN
lightgbm_clf_baseline,2,3,KMID2
lightgbm_clf_baseline,2,4,KUP
lightgbm_clf_baseline,2,5,KLOW
lightgbm_clf_baseline,2,6,KSFT
lightgbm_clf_baseline,2,7,ROC5
lightgbm_clf_baseline,2,8,MAX_RATIO_5
lightgbm_clf_baseline,2,9,MIN_RATIO_5
lightgbm_clf_baseline,2,10,MA_RATIO_5
lightgbm_clf_baseline,2,11,ROC10
lightgbm_clf_baseline,2,12,MAX_RATIO_10
lightgbm_clf_baseline,2,13,MIN_RATIO_10
lightgbm_clf_baseline,2,14,MA_RATIO_10
lightgbm_clf_baseline,2,15,ROC20
lightgbm_clf_baseline,2,16,MAX_RATIO_20
lightgbm_clf_baseline,2,17,MIN_RATIO_20
lightgbm_clf_baseline,2,18,MA_RATIO_20
lightgbm_clf_baseline,2,19,ROC30
lightgbm_clf_baseline,2,20,MAX_RATIO_30
lightgbm_clf_baseline,2,21,MIN_RATIO_30
lightgbm_clf_baseline,2,22,MA_RATIO_30
lightgbm_clf_baseline,2,23,ROC60
lightgbm_clf_baseline,2,24,MAX_RATIO_60
lightgbm_clf_baseline,2,25,MIN_RATIO_60
lightgbm_clf_baseline,2,26,MA_RATIO_60
lightgbm_clf_baseline,2,27,ROC120
lightgbm_clf_baseline,2,28,MAX_RATIO_120
lightgbm_clf_baseline,2,29,MIN_RATIO_120
lightgbm_clf_baseline,2,30,MA_RATIO_120
lightgbm_clf_baseline,2,31,ROC250
lightgbm_clf_baseline,2,32,MAX_RATIO_250
lightgbm_clf_baseline,2,33,MIN_RATIO_250
lightgbm_clf_baseline,2,34,MA_RATIO_250
lightgbm_clf_baseline,2,35,STD5
lightgbm_clf_baseline,2,36,STD10
lightgbm_clf_baseline,2,37,STD20
lightgbm_clf_baseline,2,38,STD30
lightgbm_clf_baseline,2,39,STD60
lightgbm_clf_baseline,2,40,STD120
lightgbm_clf_baseline,2,41,STD250
lightgbm_clf_baseline,2,42,ATR_RATIO_5
lightgbm_clf_baseline,2,43,ATR_RATIO_20
lightgbm_clf_baseline,2,44,ATR_RATIO_60
lightgbm_clf_baseline,2,45,ROC_STD_20
lightgbm_clf_baseline,2,46,ROC_STD_60
lightgbm_clf_baseline,2,47,ROC_STD_120
lightgbm_clf_baseline,2,48,ROC_STD_250
lightgbm_clf_baseline,2,49,MOM_ACC_20_60
lightgbm_clf_baseline,2,50,MOM_ACC_60_120
lightgbm_clf_baseline,2,51,VMA_RATIO_5
lightgbm_clf_baseline,2,52,VSTD_5
lightgbm_clf_baseline,2,53,VMA_RATIO_10
lightgbm_clf_baseline,2,54,VSTD_10
lightgbm_clf_baseline,2,55,VMA_RATIO_20
lightgbm_clf_baseline,2,56,VSTD_20
lightgbm_clf_baseline,2,57,VMA_RATIO_60
lightgbm_clf_baseline,2,58,VSTD_60
lightgbm_clf_baseline,2,59,CORR_PV_5
